display_template,image_small,image_small,objectid,ark,object_location,,parentid,image_alt_text,contributing_institution,title,rights_management_valueURI,type,language,personal_creator,corporate_creator,personal_contributor,corporate_contributor,date,description,extent,genre,subject,personal_name_subject,corporate_name_subject,location,longitude,latitude,chronological_subject
,,,FDMM_ICICi010,,FDMM_ICICi010.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi011,,FDMM_ICICi011.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi012,,FDMM_ICICi012.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi013,,FDMM_ICICi013.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi014,,FDMM_ICICi014.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi015,,FDMM_ICICi015.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi016,,FDMM_ICICi016.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi017,,FDMM_ICICi017.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi018,,FDMM_ICICi018.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi019,,FDMM_ICICi019.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi020,,FDMM_ICICi020.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi021,,FDMM_ICICi021.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi022,,FDMM_ICICi022.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi023,,FDMM_ICICi023.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi024,,FDMM_ICICi024.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi025,,FDMM_ICICi025.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi026,,FDMM_ICICi026.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi027,,FDMM_ICICi027.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi028,,FDMM_ICICi028.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi029,,FDMM_ICICi029.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi030,,FDMM_ICICi030.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi031,,FDMM_ICICi031.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi032,,FDMM_ICICi032.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi033,,FDMM_ICICi033.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi034,,FDMM_ICICi034.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi035,,FDMM_ICICi035.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi036,,FDMM_ICICi036.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi037,,FDMM_ICICi037.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i000,,,,,,,"Meharry Annual Military Review, 1919",http://rightsstatements.org/vocab/UND/1.0/,Text;Still Image,eng;zxx,,,,,,Annual from a historically Black college featuring several individuals commissioned at Fort Des Moines.,,,,,,Iowa,,,
,,,FDMM_MAMR1919i001,,FDMM_MAMR1919i001.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,Page 1,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i002,,FDMM_MAMR1919i002.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,Page 2,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i003,,FDMM_MAMR1919i003.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,Page 3,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i004,,FDMM_MAMR1919i004.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i005,,FDMM_MAMR1919i005.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i006,,FDMM_MAMR1919i006.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i007,,FDMM_MAMR1919i007.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i008,,FDMM_MAMR1919i008.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i009,,FDMM_MAMR1919i009.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i010,,FDMM_MAMR1919i010.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i011,,FDMM_MAMR1919i011.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i012,,FDMM_MAMR1919i012.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i013,,FDMM_MAMR1919i013.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i014,,FDMM_MAMR1919i014.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i015,,FDMM_MAMR1919i015.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i016,,FDMM_MAMR1919i016.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i017,,FDMM_MAMR1919i017.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i018,,FDMM_MAMR1919i018.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i019,,FDMM_MAMR1919i019.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i020,,FDMM_MAMR1919i020.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i021,,FDMM_MAMR1919i021.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i022,,FDMM_MAMR1919i022.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i023,,FDMM_MAMR1919i023.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i024,,FDMM_MAMR1919i024.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i025,,FDMM_MAMR1919i025.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i026,,FDMM_MAMR1919i026.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i027,,FDMM_MAMR1919i027.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i028,,FDMM_MAMR1919i028.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i029,,FDMM_MAMR1919i029.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i030,,FDMM_MAMR1919i030.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i031,,FDMM_MAMR1919i031.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i032,,FDMM_MAMR1919i032.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i033,,FDMM_MAMR1919i033.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i034,,FDMM_MAMR1919i034.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i035,,FDMM_MAMR1919i035.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i036,,FDMM_MAMR1919i036.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i037,,FDMM_MAMR1919i037.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i038,,FDMM_MAMR1919i038.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i039,,FDMM_MAMR1919i039.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i040,,FDMM_MAMR1919i040.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i041,,FDMM_MAMR1919i041.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i042,,FDMM_MAMR1919i042.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i043,,FDMM_MAMR1919i043.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i044,,FDMM_MAMR1919i044.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i045,,FDMM_MAMR1919i045.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i046,,FDMM_MAMR1919i046.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i047,,FDMM_MAMR1919i047.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i048,,FDMM_MAMR1919i048.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i049,,FDMM_MAMR1919i049.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i050,,FDMM_MAMR1919i050.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i051,,FDMM_MAMR1919i051.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i052,,FDMM_MAMR1919i052.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i053,,FDMM_MAMR1919i053.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i054,,FDMM_MAMR1919i054.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i055,,FDMM_MAMR1919i055.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i056,,FDMM_MAMR1919i056.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i057,,FDMM_MAMR1919i057.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i058,,FDMM_MAMR1919i058.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i059,,FDMM_MAMR1919i059.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i060,,FDMM_MAMR1919i060.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i061,,FDMM_MAMR1919i061.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i062,,FDMM_MAMR1919i062.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i063,,FDMM_MAMR1919i063.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i064,,FDMM_MAMR1919i064.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i065,,FDMM_MAMR1919i065.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i066,,FDMM_MAMR1919i066.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i067,,FDMM_MAMR1919i067.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i068,,FDMM_MAMR1919i068.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i069,,FDMM_MAMR1919i069.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i070,,FDMM_MAMR1919i070.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i071,,FDMM_MAMR1919i071.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i072,,FDMM_MAMR1919i072.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i073,,FDMM_MAMR1919i073.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i074,,FDMM_MAMR1919i074.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i075,,FDMM_MAMR1919i075.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i076,,FDMM_MAMR1919i076.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i077,,FDMM_MAMR1919i077.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i078,,FDMM_MAMR1919i078.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i079,,FDMM_MAMR1919i079.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i080,,FDMM_MAMR1919i080.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i081,,FDMM_MAMR1919i081.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_MAMR1919i082,,FDMM_MAMR1919i082.tif,,FDMM_MAMR1919i000,Page from an annual of a historically Black college featuring several individuals commissioned at Fort Des Moines,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
